date,lender,amount,borrower,industry,structure,description,location
7/23/2019,CIT [Coordinating Lead Arranger],$204.5 MM,Duke Energy Renewables,Energy,Debt Facility,"$204.5 million in debt financing to support construction of Holstein Solar, a 200-megawatt solar farm to be built in Nolan County, Texas. Concurrent with financial close, the project was sold by 8minute Solar Energy to Duke Energy Renewables. Tranaction details not disclosed.",
7/23/2019,MidCap Business Credit LLC [Lender],$2.0 MM,Pavement Corporation,Infrastructure,Asset-based Credit Facility,Transaction details not disclosed.,MD
7/23/2019,Finitive [Lender],$100.0 MM,Platinum Auto of Tampa Bay,Automotive,Credit Facility,Facility includes an accordion to expand to $150MM. Transaction details not disclosed.,
7/24/2019,"Fifth Third Business Capital [Administrtive Agent, Lender]",$10.0 MM,"Kratos Building Products, Inc.",Building Supplies,Senior Credit Facility,Facility used to refinance indebtedness and to fund working capital needs. Transaction details not disclosed.,TX
7/25/2019,"Canadian Imperial Bank of Commerce [Co-Lead Arranger, Joint Bookrunner, Administrative Agent]
The Bank of Nova Scotia [Co-Lead Arranger, Joint Bookrunner]",$300.0 MM,Capstone Mining Corporation,Mining,Revolving Credit Facility,"Company extended and amended its US$300 million corporate revolving credit facility (""RCF"") to July 25, 2022. The amended RCF has removed the 50-basis point increase in the pricing grid which was meant to be effective April 19, 2019 ; the rate will remain at LIBOR plus 2.75% based on the current net debt to EBITDA ratio.  In addition, the amendment removes future amortizations of the credit limit on each anniversary of the facility.",
7/25/2019,People's United Bank [Lender],$80.0 MM,"Invesque, Inc",Senior Living Communities,Senior Secured Credit Facility,The facility will be used to refinance existing debt associated with the four senior living facilities in Eastern Pennsylvania and Southern New Jersey. Transaction details not disclosed.,
7/29/2019,Silicon Valley Bank [Lead Lender],$24.0 MM,"Axsome Therapeutics, Inc.",Biotechnology,Term Loan Amendment,"Company amended its existing $24 million term loan facility agreement led by Silicon Valley Bank (SVB). The amendment extends the interest-only payment period as well as the time for drawing down additional funding under the loan facility. These modifications are expected to further extend the Company’s cash runway, and provide additional financial flexibility. Axsome entered into the $24 million loan agreement in March 2019. The amendment extends the interest-only payment period by a minimum of six months to 18 months, which may be further extended to 24 months should the Company elect to draw down an additional $4 million that remains unfunded under the loan agreement. The period to draw this remaining amount has also been extended to December 31, 2019, subject to the achievement of positive results, prior to this date, from the Company’s ongoing CONCERT Phase 2 trial of AXS-12 in narcolepsy sufficient to proceed to a Phase 3 trial. In consideration for the amendment, the final payment fee, payable upon the Company’s repayment of the loan, increased from 6.0% to 6.3% of the principal amount of the loan advances.",
7/30/2019,PNC Bank [Administrative Agent],$30.0 MM,"Sigma Piping Products 2019, LLC",Infrastructure,Senior Secured Credit Facility,"SIGMA will use the funds to partially finance SPP’s acquisition of four of Unique’s industrial products divisions, partially fund capital expenditures, and provide for ongoing working capital needs. Transaction details not disclosed.",TX
7/30/2019,CIBC Innovation Banking [Lender],$3.5 MM,Invixium,Biotechnology,Debt Financing Facility,Company will  use the financing to support growth plans. Transaction details not disclosed.,
7/31/2019,AloStar Capital Finance [Lender],$30.0 MM,BlackRiver Business Capital,Lender Finance,Credit Facility,Transaction details not disclosed.,
7/31/2019,People's United Bank [Lead Arranger],$50.0 MM,"MVC Capital, Inc.",Lender Finance,Credit Facility Expansion,Expansion of a credit facility to $50MM to provide the company with working capital for future expansion.,
7/31/2019,Pacific Mercantile Bank [Lender],$10.0 MM,Mercury GSE,Aviation,Credit Facility,Transaction details not disclosed.,
8/1/2019,Siena Lending Group LLC [Lender],$11.8 MM,"Nilco Enterprises, Inc. and Dial Lubricants, Inc.",Specialty Industries,"Senior Secured Revolver, Term Loan",The credit facilities will be used to support the companies' working capital needs and continued growth. Transaction details not disclosed.,TX
8/2/2019,"KeyBanc Capital Markets [Lead Arranger, Administrative Agent, L/C Agent, Collateral Agent]
CoBank [Participant]
ACB [Participant]
National Cooperative Services Corporation [Participant]",$185.0 MM,GridLiance,Utilities,Revolving Credit Facilities,Two new revolving credit facilities with commitments totaling $185 million. The new five-year $80 million revolving credit facility for GridLiance Western Holdings and $105 million five-year revolving credit facility at GridLiance West will be used to repay current debt and related transaction costs while creating significant financial capacity and flexibility to support GridLiance's growth objectives. Transaction details not disclosed.,
8/2/2019,National Bank of Canada [Lender],$5.0 MM,"D-BOX Technologies, Inc.",Technology,Revolving Credit Facility,"This new credit facility will mature three years from the date hereof and bear interest at an annual rate equal to National Bank of Canada’s floating rate of interest applicable to commercial loans in Canadian dollars plus 2.25%, which interest is payable monthly. The credit facility is secured by a hypothec and security interests on all of the assets of D-BOX and its wholly-owned US subsidiary. The amount of the credit facility will gradually reduce over the term of the facility at the end of each quarter, such that the amount of the credit facility at the end of each year will be as follows: $4.5 million dollars at the end of year one, $3.8 million at the end of year two, and $3.0 million at the end of year three.",
8/2/2019,"Bank of America [Administrative Agent]
Wells Fargo Bank [Lender]
Citizens Bank [Lender]",$165.0 MM,"Celadon Group, Inc.",Trucking,$60MM Revolver; $105MM Term Loan,"Company refinanced its former revolving credit facility and obtained $165 million in new financing. According to a regulatory filing, Bank of America served as Administrative Agent to the new financing which also included Wells Fargo Bank, N.A., and Citizens Bank, N.A., both as lenders. The new financing includes a $60.0 million Revolving Credit Facility, and a $105.0 million term loan.",
8/5/2019,BMO Technology and Innovation Banking [Lender],$37.0 MM,"Kony, Inc.",Technology,Debt Financing,Kony will use the new investment to further accelerate growth of its market-leading Kony DBX digital banking and Kony Quantum low-code platforms. Facility includes $37MM in debt financing including $10MM of new financing. Transaction details not disclosed.,TX
